fiber_fraction,Ef_Em,width_to_thickness_ratio,length_value,theta,length_distribution_type,sim,random_seed,box_x,box_z,E1_Em,E2_Em,E3_Em,G12_Em,G13_Em,G23_Em,v12,v13,v23,L_band
0.25,4.0,1.0,50.0,20,constant,sim003_25,3,250,250,1.36774,1.36797,1.56557,0.51533,0.52939,0.52995,0.32666,0.27101,0.27118,short
0.25,12.0,1.0,50.0,20,constant,sim003_25,3,250,250,1.62602,1.62673,2.55461,0.60525,0.64823,0.65005,0.34259,0.19849,0.19892,short
0.25,20.0,1.0,50.0,20,constant,sim003_25,3,250,250,1.71126,1.7123,3.1933,0.63381,0.69279,0.69517,0.34934,0.16822,0.1687,short
0.25,28.0,1.0,50.0,20,constant,sim003_25,3,250,250,1.75492,1.75622,3.64853,0.64824,0.71766,0.72031,0.35303,0.15173,0.1522,short
0.25,32.0,1.0,50.0,20,constant,sim003_25,3,250,250,1.76978,1.77119,3.83137,0.65313,0.72656,0.7293,0.35431,0.14599,0.14645,short
0.25,40.0,1.0,50.0,20,constant,sim003_25,3,250,250,1.7918,1.79343,4.13438,0.66036,0.74023,0.74309,0.35622,0.1374,0.13782,short
0.25,48.0,1.0,50.0,20,constant,sim003_25,3,250,250,1.80743,1.80926,4.37599,0.66549,0.75033,0.75325,0.35757,0.13125,0.13163,short
0.3,4.0,1.0,50.0,20,constant,sim003_30,3,250,250,1.46291,1.46279,1.69188,0.55343,0.56987,0.56949,0.32202,0.26466,0.26455,short
0.3,12.0,1.0,50.0,20,constant,sim003_30,3,250,250,1.80865,1.8084,2.93921,0.67826,0.73185,0.73083,0.33402,0.18944,0.18926,short
0.3,20.0,1.0,50.0,20,constant,sim003_30,3,250,250,1.92597,1.92567,3.77152,0.7197,0.79498,0.79383,0.33884,0.15843,0.15827,short
0.3,28.0,1.0,50.0,20,constant,sim003_30,3,250,250,1.98667,1.98632,4.37798,0.74098,0.83064,0.82953,0.3414,0.1416,0.14147,short
0.3,32.0,1.0,50.0,20,constant,sim003_30,3,250,250,2.00743,2.00706,4.62468,0.74824,0.84346,0.84238,0.34228,0.13576,0.13564,short
0.3,40.0,1.0,50.0,20,constant,sim003_30,3,250,250,2.03831,2.0379,5.03743,0.75902,0.8632,0.86222,0.34356,0.12702,0.12692,short
0.3,48.0,1.0,50.0,20,constant,sim003_30,3,250,250,2.06033,2.05988,5.36998,0.7667,0.87783,0.87694,0.34446,0.12076,0.12068,short
0.1,4.0,2.0,50.0,0,constant,sim004_10,3,250,250,1.13774,1.13908,1.21576,0.42711,0.43316,0.43411,0.33254,0.30108,0.30123,short
0.1,12.0,2.0,50.0,0,constant,sim004_10,3,250,250,1.22075,1.22407,1.5,0.45365,0.4703,0.47248,0.3466,0.26163,0.26191,short
0.1,20.0,2.0,50.0,0,constant,sim004_10,3,250,250,1.24681,1.25093,1.63922,0.46121,0.48281,0.48543,0.35292,0.24458,0.24481,short
0.1,28.0,2.0,50.0,0,constant,sim004_10,3,250,250,1.2599,1.26446,1.72297,0.46486,0.48937,0.49223,0.35644,0.23519,0.23535,short
0.1,32.0,2.0,50.0,0,constant,sim004_10,3,250,250,1.26429,1.26901,1.75356,0.46607,0.49162,0.49456,0.35768,0.23191,0.23205,short
0.1,40.0,2.0,50.0,0,constant,sim004_10,3,250,250,1.27075,1.2757,1.80086,0.46782,0.49499,0.49806,0.35954,0.227,0.22709,short
0.1,48.0,2.0,50.0,0,constant,sim004_10,3,250,250,1.27526,1.28039,1.83578,0.46903,0.49739,0.50055,0.36087,0.22349,0.22355,short
0.15,4.0,2.0,50.0,0,constant,sim004_15,3,250,250,1.22127,1.21873,1.34055,0.45842,0.469,0.46817,0.33277,0.28839,0.28866,short
0.15,12.0,2.0,50.0,0,constant,sim004_15,3,250,250,1.36298,1.35634,1.81556,0.50512,0.5351,0.53329,0.3506,0.23629,0.2371,short
0.15,20.0,2.0,50.0,0,constant,sim004_15,3,250,250,1.40815,1.39993,2.0595,0.51906,0.55834,0.55625,0.3581,0.21471,0.2158,short
0.15,28.0,2.0,50.0,0,constant,sim004_15,3,250,250,1.43089,1.42185,2.21015,0.5259,0.57068,0.56848,0.36219,0.20301,0.20427,short
